Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,screen_reads.fastq
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium_semiaridum,WSM_1704,2.9178317638552667
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus_zhangqiuensis,F502-1,0.304719382634669
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia_phyllosphaerae,CMYE1,0.02525127795905407
Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Crassaminicella,Crassaminicella_indica,143-21,0.6305400849781249
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium_algicola,RMAR6-6,2.0210208001859797
Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_agricola,CC-SYL302,0.45474288832814136
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_nitrosporeus,JCM_4598,0.38884576399435566
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bombiscardovia,Bombiscardovia_apis,KimH,0.09456038977454036
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium_sediminicola,CAU_1639,2.718593334233346
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea_leporis,R,5.282981563652403
Bacteria,Spirochaetota,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira_aalborgi,513A,0.1075488041339494
Bacteria,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_bradburyae,T158,0.1590542879049815
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_daliensis,DSM_42095,0.1515374619945049
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_glycanivorans,Alt3,2.1331330176525
