tool	rank	metric	sample	value
RaPDTool_full	species	L1 norm error	mock	1.24082482
RaPDTool_full	na	Weighted UniFrac error	mock	0.03460118568333331
RaPDTool_full	na	Unweighted UniFrac error	mock	24.62709233419536
RaPDTool_full	na	Weighted UniFrac (CAMI)	mock	4.1337182
RaPDTool_full	na	Unweighted UniFrac (CAMI)	mock	1223.95945523
RaPDTool_full	superkingdom	Sum of abundances	mock	1.0
RaPDTool_full	phylum	Sum of abundances	mock	0.9999999900000001
RaPDTool_full	class	Sum of abundances	mock	0.99999998
RaPDTool_full	order	Sum of abundances	mock	1.00000002
RaPDTool_full	family	Sum of abundances	mock	1.00000003
RaPDTool_full	genus	Sum of abundances	mock	0.99999998
RaPDTool_full	species	Sum of abundances	mock	0.9999999599999999
RaPDTool_full	superkingdom	Taxon counts	mock	2.0
RaPDTool_full	phylum	Taxon counts	mock	23.0
RaPDTool_full	class	Taxon counts	mock	33.0
RaPDTool_full	order	Taxon counts	mock	49.0
RaPDTool_full	family	Taxon counts	mock	64.0
RaPDTool_full	genus	Taxon counts	mock	96.0
RaPDTool_full	species	Taxon counts	mock	115.0
Kraken2_full	superkingdom	Bray-Curtis distance	mock	0.0007806600000000342
Kraken2_full	phylum	Bray-Curtis distance	mock	0.05200026421999602
Kraken2_full	class	Bray-Curtis distance	mock	0.05203455947965441
Kraken2_full	order	Bray-Curtis distance	mock	0.05198294422025582
Kraken2_full	family	Bray-Curtis distance	mock	0.052450618426481466
Kraken2_full	genus	Bray-Curtis distance	mock	0.07510391324064783
Kraken2_full	species	Bray-Curtis distance	mock	0.25735084676562753
Kraken2_full	superkingdom	Shannon diversity	mock	0.006366267007346509
Kraken2_full	superkingdom	Shannon equitability	mock	0.00918458184047383
Kraken2_full	phylum	Shannon diversity	mock	0.6979581246712954
Kraken2_full	phylum	Shannon equitability	mock	0.2910711458456526
Kraken2_full	class	Shannon diversity	mock	0.7075083813592827
Kraken2_full	class	Shannon equitability	mock	0.2680913269369668
Kraken2_full	order	Shannon diversity	mock	1.3752536872313819
Kraken2_full	order	Shannon equitability	mock	0.4272465798793878
Kraken2_full	family	Shannon diversity	mock	1.9149695462991627
Kraken2_full	family	Shannon equitability	mock	0.5343824266557917
Kraken2_full	genus	Shannon diversity	mock	2.129214099806147
Kraken2_full	genus	Shannon equitability	mock	0.4831744389270975
Kraken2_full	species	Shannon diversity	mock	2.505279439188771
Kraken2_full	species	Shannon equitability	mock	0.41411401968827966
Kraken2_full	superkingdom	True positives	mock	1.0
Kraken2_full	superkingdom	False negatives	mock	0.0
Kraken2_full	superkingdom	False positives	mock	1.0
Kraken2_full	superkingdom	Completeness	mock	1.0
Kraken2_full	superkingdom	Purity	mock	0.5
Kraken2_full	superkingdom	F1 score	mock	0.6666666666666666
Kraken2_full	superkingdom	Jaccard index	mock	0.5
Kraken2_full	phylum	True positives	mock	2.0
Kraken2_full	phylum	False negatives	mock	0.0
Kraken2_full	phylum	False positives	mock	9.0
Kraken2_full	phylum	Completeness	mock	1.0
Kraken2_full	phylum	Purity	mock	0.18181818181818182
Kraken2_full	phylum	F1 score	mock	0.3076923076923077
Kraken2_full	phylum	Jaccard index	mock	0.18181818181818182
Kraken2_full	class	True positives	mock	2.0
Kraken2_full	class	False negatives	mock	0.0
Kraken2_full	class	False positives	mock	12.0
Kraken2_full	class	Completeness	mock	1.0
Kraken2_full	class	Purity	mock	0.14285714285714285
Kraken2_full	class	F1 score	mock	0.25
Kraken2_full	class	Jaccard index	mock	0.14285714285714285
Kraken2_full	order	True positives	mock	4.0
Kraken2_full	order	False negatives	mock	0.0
Kraken2_full	order	False positives	mock	21.0
Kraken2_full	order	Completeness	mock	1.0
Kraken2_full	order	Purity	mock	0.16
Kraken2_full	order	F1 score	mock	0.2758620689655173
Kraken2_full	order	Jaccard index	mock	0.16
Kraken2_full	family	True positives	mock	7.0
Kraken2_full	family	False negatives	mock	0.0
Kraken2_full	family	False positives	mock	29.0
Kraken2_full	family	Completeness	mock	1.0
Kraken2_full	family	Purity	mock	0.19444444444444445
Kraken2_full	family	F1 score	mock	0.32558139534883723
Kraken2_full	family	Jaccard index	mock	0.19444444444444445
Kraken2_full	genus	True positives	mock	8.0
Kraken2_full	genus	False negatives	mock	0.0
Kraken2_full	genus	False positives	mock	74.0
Kraken2_full	genus	Completeness	mock	1.0
Kraken2_full	genus	Purity	mock	0.0975609756097561
Kraken2_full	genus	F1 score	mock	0.17777777777777776
Kraken2_full	genus	Jaccard index	mock	0.0975609756097561
Kraken2_full	species	True positives	mock	8.0
Kraken2_full	species	False negatives	mock	0.0
Kraken2_full	species	False positives	mock	416.0
Kraken2_full	species	Completeness	mock	1.0
Kraken2_full	species	Purity	mock	0.018867924528301886
Kraken2_full	species	F1 score	mock	0.037037037037037035
Kraken2_full	species	Jaccard index	mock	0.018867924528301886
Kraken2_full	superkingdom	L1 norm error	mock	0.0015613200000000685
Kraken2_full	phylum	L1 norm error	mock	0.10400053
Kraken2_full	class	L1 norm error	mock	0.10406912
Kraken2_full	order	L1 norm error	mock	0.10396588999999999
Kraken2_full	family	L1 norm error	mock	0.10490124000000002
Kraken2_full	genus	L1 norm error	mock	0.15020784000000004
Kraken2_full	species	L1 norm error	mock	0.5147019200000004
Kraken2_full	na	Weighted UniFrac error	mock	0.008185888459166658
Kraken2_full	na	Unweighted UniFrac error	mock	53.47462391077537
Kraken2_full	na	Weighted UniFrac (CAMI)	mock	1.0835996533467094
Kraken2_full	na	Unweighted UniFrac (CAMI)	mock	2966.999704989525
Kraken2_full	superkingdom	Sum of abundances	mock	1.0
Kraken2_full	phylum	Sum of abundances	mock	1.00000003
Kraken2_full	class	Sum of abundances	mock	1.00000002
Kraken2_full	order	Sum of abundances	mock	1.00000003
Kraken2_full	family	Sum of abundances	mock	1.00000006
Kraken2_full	genus	Sum of abundances	mock	1.00000018
Kraken2_full	species	Sum of abundances	mock	1.00000088
Kraken2_full	superkingdom	Taxon counts	mock	2.0
Kraken2_full	phylum	Taxon counts	mock	11.0
Kraken2_full	class	Taxon counts	mock	14.0
Kraken2_full	order	Taxon counts	mock	25.0
Kraken2_full	family	Taxon counts	mock	36.0
Kraken2_full	genus	Taxon counts	mock	82.0
Kraken2_full	species	Taxon counts	mock	424.0
