tool	rank	metric	sample	value
RaPDTool_full	phylum	Jaccard index	mock	0.7142857142857143
RaPDTool_full	class	True positives	mock	17.0
RaPDTool_full	class	False negatives	mock	0.0
RaPDTool_full	class	False positives	mock	16.0
RaPDTool_full	class	Completeness	mock	1.0
RaPDTool_full	class	Purity	mock	0.5151515151515151
RaPDTool_full	class	F1 score	mock	0.6799999999999999
RaPDTool_full	class	Jaccard index	mock	0.5151515151515151
RaPDTool_full	order	True positives	mock	19.0
RaPDTool_full	order	False negatives	mock	0.0
RaPDTool_full	order	False positives	mock	44.0
RaPDTool_full	order	Completeness	mock	1.0
RaPDTool_full	order	Purity	mock	0.30158730158730157
RaPDTool_full	order	F1 score	mock	0.46341463414634143
RaPDTool_full	order	Jaccard index	mock	0.30158730158730157
RaPDTool_full	family	True positives	mock	19.0
RaPDTool_full	family	False negatives	mock	0.0
RaPDTool_full	family	False positives	mock	70.0
RaPDTool_full	family	Completeness	mock	1.0
RaPDTool_full	family	Purity	mock	0.21348314606741572
RaPDTool_full	family	F1 score	mock	0.3518518518518518
RaPDTool_full	family	Jaccard index	mock	0.21348314606741572
RaPDTool_full	genus	True positives	mock	19.0
RaPDTool_full	genus	False negatives	mock	0.0
RaPDTool_full	genus	False positives	mock	99.0
RaPDTool_full	genus	Completeness	mock	1.0
RaPDTool_full	genus	Purity	mock	0.16101694915254236
RaPDTool_full	genus	F1 score	mock	0.2773722627737226
RaPDTool_full	genus	Jaccard index	mock	0.16101694915254236
RaPDTool_full	species	True positives	mock	20.0
RaPDTool_full	species	False negatives	mock	0.0
RaPDTool_full	species	False positives	mock	146.0
RaPDTool_full	species	Completeness	mock	1.0
RaPDTool_full	species	Purity	mock	0.12048192771084337
RaPDTool_full	species	F1 score	mock	0.21505376344086022
RaPDTool_full	species	Jaccard index	mock	0.12048192771084337
RaPDTool_full	superkingdom	L1 norm error	mock	0.042501260000000124
RaPDTool_full	phylum	L1 norm error	mock	0.5544101800000001
RaPDTool_full	class	L1 norm error	mock	0.55948937
